genome_id,Kingdom,Phylum,Class,Order,Family,Genus,Species
GCF_900240275.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus timonensis
GCF_004359375.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Acetilactobacillus,Acetilactobacillus jinshanensis
GCF_001436375.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Agrilactobacillus,Agrilactobacillus composti
GCF_000583695.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Agrilactobacillus,Agrilactobacillus composti
GCF_003946725.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Agrilactobacillus,Agrilactobacillus sp003946725
GCF_006540265.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,Amylolactobacillus amylophilus
GCF_001936335.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,Amylolactobacillus amylophilus
GCF_001436185.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,Amylolactobacillus amylophilus
GCF_001434555.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,Amylolactobacillus amylophilus
GCF_001281175.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus apinorum
GCF_003627035.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus sp003627035
GCF_019575995.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus kunkeei
GCF_001314945.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus kunkeei
GCF_019576055.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus kunkeei_A
GCF_019718775.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus kunkeei_A
GCF_001308205.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus kunkeei_B
GCF_001281285.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus kunkeei_A
GCF_001281205.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus kunkeei_A
GCF_001421115.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus kunkeei_A
GCF_001281225.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus kunkeei_A
GCF_006493615.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus kunkeei
GCF_014323645.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus kunkeei_D
GCF_000830375.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus kunkeei_A
GCF_001421135.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus kunkeei_A
GCF_009910775.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus kunkeei_A
GCF_001949975.2,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus kunkeei_A
GCF_001308215.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus kunkeei_C
GCF_005930975.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus kunkeei_E
GCF_001308185.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus kunkeei
GCF_000741865.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus kunkeei
GCF_005930925.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus kunkeei_D
GCF_005930915.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus kunkeei_D
GCF_001308195.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus kunkeei_C
GCF_001281215.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus kunkeei_A
GCF_006493415.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus kunkeei_A
GCF_005930935.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus kunkeei
GCF_001281165.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus kunkeei
GCF_001281265.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus kunkeei
GCF_001433825.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus kunkeei
GCF_006493595.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus micheneri
GCF_002993975.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus micheneri
GCF_006493195.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus micheneri
GCF_006493225.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus micheneri
GCF_006493235.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus micheneri
GCF_006493515.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus micheneri
GCF_006493545.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus micheneri
GCF_006493275.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus micheneri
GCF_006493495.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus micheneri
GCF_006493185.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus micheneri
GCF_006493525.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus micheneri
GCF_006493295.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus micheneri
GCF_006493445.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus micheneri
GCF_006493625.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus micheneri
GCF_006493385.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus micheneri
GCF_006493305.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus micheneri
GCF_006493315.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus micheneri
GCF_006493565.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus micheneri
GCF_006493325.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus micheneri
GCF_006493375.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus micheneri
GCF_016861895.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus kunkeei_D
GCF_016861915.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus kunkeei_D
GCF_001435995.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus ozensis
GCF_002994005.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus quenuiae
GCF_019656215.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus kunkeei_B
GCF_019656255.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,
GCF_019061205.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus kunkeei_A
GCF_006493105.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus timberlakei
GCF_002993965.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus timberlakei
GCF_006493435.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus timberlakei
GCF_006493425.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus timberlakei
GCF_006493055.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus timberlakei
GCF_006493095.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus timberlakei
GCF_006493175.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus timberlakei
GCF_006493155.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus timberlakei
GCF_006493125.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Apilactobacillus,Apilactobacillus timberlakei
GCF_013385145.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Bombilactobacillus,Bombilactobacillus sp013385145
GCF_003522965.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Bombilactobacillus,Bombilactobacillus bombi
GCF_003515805.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Bombilactobacillus,Bombilactobacillus bombi
GCF_003515755.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Bombilactobacillus,Bombilactobacillus bombi
GCF_000970795.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Bombilactobacillus,Bombilactobacillus mellifer
GCF_000967245.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Bombilactobacillus,Bombilactobacillus mellis
GCF_013346925.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Bombilactobacillus,Bombilactobacillus mellis
GCF_013345055.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Bombilactobacillus,Bombilactobacillus mellis
GCF_013347085.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Bombilactobacillus,Bombilactobacillus mellis
GCF_007991795.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus alimentarius
GCF_002849895.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus alimentarius
GCF_001434745.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus alimentarius
GCF_001971585.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus allii
GCF_003946005.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus allii
GCF_003946605.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus sp003946605
GCF_002179915.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus paralimentarius_A
GCF_009764355.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus paralimentarius_A
GCF_009764365.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus paralimentarius_B
GCF_001434855.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus paralimentarius_A
GCF_001951175.1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus crustorum
