genome_id,isolation_source,Country,geo_loc_name
GCF_900240275.1,stool,Missing,Missing
GCF_004359375.1,Vinegar Pei,China,China:Jiangsu
GCF_001436375.1,composting material of distilled shochu residue,Japan,Japan
GCF_000583695.1,Missing,Missing,Missing
GCF_003946725.1,pickle,China,China
GCF_006540265.1,Missing,Missing,missing
GCF_001936335.1,swine waste-corn fermentation,USA,USA
GCF_001436185.1,swine waste-corn fermentation,Missing,-
GCF_001434555.1,swine waste-corn fermentation,Missing,-
GCF_001281175.1,Missing,Sweden,Sweden: Jonstorp
GCF_003627035.1,gut,South Korea,South Korea: Jeonju
GCF_019575995.1,Missing,USA,USA
GCF_001314945.1,gut,Chile,Chile: Melipilla
GCF_019576055.1,environmental,Poland,Poland: Lublin
GCF_019718775.1,Nectar,Poland,Poland: Lublin
GCF_001308205.1,Missing,Malaysia,Malaysia:Borneo
GCF_001281285.1,Missing,Indonesia,Indonesia
GCF_001281205.1,Missing,Malaysia,Malaysia: Borneo
GCF_001421115.1,Missing,Malaysia,Malaysia: Borneo
GCF_001281225.1,Missing,Malaysia,Malaysia: Borneo
GCF_006493615.1,Hive Honey Comb,USA,"USA: Riverside, Ca"
GCF_014323645.1,gut,Italy,Italy: Bologna
GCF_000830375.1,Honey bee midgut,Norway,Norway: Aas
GCF_001421135.1,Missing,Thailand,Thailand
GCF_009910775.1,pollen (bee bread) from beehive,United Kingdom,United Kingdom
GCF_001949975.2,Missing,Missing,not applicable
GCF_001308215.1,Missing,Malaysia,Malaysia:Borneo
GCF_005930975.1,gastrointestinal tract,Switzerland,Switzerland: Lullier
GCF_001308185.1,Missing,Mexico,Mexico
GCF_000741865.1,Chilean honey bees gut,Chile,Chile: Santiago
GCF_005930925.1,gastrointestinal tract,Switzerland,Switzerland: Lullier
GCF_005930915.1,gastrointestinal tract,Switzerland,Switzerland: Lullier
GCF_001308195.1,Missing,Kenya,Kenya
GCF_001281215.1,Missing,Nepal,Nepal
GCF_006493415.1,Hive,USA,"USA: Tucson, Az"
GCF_005930935.1,gastrointestinal tract,Switzerland,Switzerland: Lullier
GCF_001281165.1,Missing,Sweden,Sweden: Jonstorp
GCF_001281265.1,spoiled wine fermentation,USA,USA: California
GCF_001433825.1,commercial grape wine undergoing a sluggish/stuck alcoholic fermentation,USA,USA
GCF_006493595.1,Pollen provision,USA,"USA: Logan, Utah"
GCF_002993975.1,Adult Bee Gut,USA,"USA: Colorado River East of Austin, TX"
GCF_006493195.1,Nectary,USA,"USA: Riverside, Ca"
GCF_006493225.1,Nectary,USA,"USA: Riverside, Ca"
GCF_006493235.1,Nectary,USA,"USA: Riverside, Ca"
GCF_006493515.1,Nectary,USA,"USA: Riverside, Ca"
GCF_006493545.1,gut,USA,"USA: Riverside, Ca"
GCF_006493275.1,exoskeleton swab,USA,"USA: Riverside, Ca"
GCF_006493495.1,gut,USA,"USA: Riverside, Ca"
GCF_006493185.1,Nectary,USA,"USA: Riverside, Ca"
GCF_006493525.1,Pollen provision,USA,"USA: Logan, Utah"
GCF_006493295.1,gut,USA,"USA: Riverside, Ca"
GCF_006493445.1,Nectary,USA,"USA: Riverside, Ca"
GCF_006493625.1,gut,USA,"USA: Riverside, Ca"
GCF_006493385.1,Pollen provision,USA,"USA: Logan, Utah"
GCF_006493305.1,Pollen provision,USA,"USA: Logan, Utah"
GCF_006493315.1,Pollen provision,USA,"USA: Logan, Utah"
GCF_006493565.1,Pollen provision,USA,"USA: Logan, Utah"
GCF_006493325.1,Pollen provision,USA,"USA: Logan, Utah"
GCF_006493375.1,Pollen provision,USA,"USA: Logan, Utah"
GCF_016861895.1,Missing,China,China
GCF_016861915.1,Missing,China,China
GCF_001435995.1,Missing,Japan,Japan
GCF_002994005.1,Adult Bee Gut,USA,"USA: Riverside, CA"
GCF_019656215.1,Missing,China,China
GCF_019656255.1,Missing,China,China
GCF_019061205.1,gut,Pakistan,Pakistan
GCF_006493105.1,gut,USA,"USA: Riverside, Ca"
GCF_002993965.1,Adult Bee Gut,USA,"USA: Riverside, CA"
GCF_006493435.1,gut,USA,"USA: Riverside, Ca"
GCF_006493425.1,gut,USA,"USA: Riverside, Ca"
GCF_006493055.1,gut,USA,"USA: Riverside, Ca"
GCF_006493095.1,Missing,USA,"USA: Riverside, Ca"
GCF_006493175.1,gut,USA,"USA: Riverside, Ca"
