,genomes,avg_genome_len,avg_bgcs_count
Lactobacillus rodentium,1,1521745.0,0.0
Acetilactobacillus jinshanensis,1,1616430.0,0.0
Limosilactobacillus timonensis,1,1678325.0,0.0
Paucilactobacillus sp005405145,1,1751927.0,0.0
Lactobacillus kimbladii_B,1,1911309.0,0.0
Lacticaseibacillus brantae,1,1929842.0,0.0
Pediococcus acidilactici_A,1,1970623.0,0.0
Lentilactobacillus curieae_A,1,1971719.0,0.0
Limosilactobacillus sp012843675,1,1979598.0,0.0
Companilactobacillus tucceti,1,2173857.0,0.0
Companilactobacillus sp003946605,1,2237367.0,0.0
Companilactobacillus sp003946625,1,2272157.0,0.0
Companilactobacillus sp003946205,1,2301243.0,0.0
Lacticaseibacillus sp003946485,1,2468902.0,0.0
Companilactobacillus halodurans,1,2534442.0,0.0
Lactiplantibacillus sp002970935,1,2559736.0,0.0
Lacticaseibacillus camelliae,1,2562179.0,0.0
Companilactobacillus suantsaicola,1,2601643.0,0.0
Ligilactobacillus acidipiscis,1,2607423.0,0.0
Companilactobacillus sp003946515,1,2644863.0,0.0
Lacticaseibacillus sp900540605,1,2705176.0,0.0
Companilactobacillus paralimentarius,1,2712509.0,0.0
Lacticaseibacillus sp003946115,1,2738087.0,0.0
Lactiplantibacillus modestisalitolerans,1,2749234.0,0.0
Loigolactobacillus sp005405165,1,2845990.0,0.0
Lacticaseibacillus sp003946165,1,2864583.0,0.0
Lactiplantibacillus xiangfangensis,1,2989578.0,0.0
Schleiferilactobacillus perolens,1,3309179.0,0.0
Lactiplantibacillus fabifermentans,1,3580413.0,0.0
Weissella halotolerans,2,1362229.0,0.0
Apilactobacillus kunkeei_B,2,1426429.0,0.0
Lactobacillus kitasatonis,2,1906915.0,0.0
Paralactobacillus selangorensis,2,2134385.5,0.0
Companilactobacillus musae,2,2367124.5,0.0
Companilactobacillus versmoldensis,2,2385627.5,0.0
Companilactobacillus farciminis_A,2,2430676.0,0.0
Companilactobacillus formosensis,2,2470347.5,0.0
Companilactobacillus heilongjiangensis,2,2762305.5,0.0
Loigolactobacillus bifermentans,2,3204427.5,0.0
Lactobacillus pasteurii,3,1891273.6666666667,0.0
Lactobacillus ultunensis,3,2247733.6666666665,0.0
Companilactobacillus alimentarius,3,2355083.6666666665,0.0
Lacticaseibacillus sp003946465,3,2360774.0,0.0
Lactobacillus acetotolerans,4,1687557.25,0.0
Lactobacillus sp000760615,4,1951481.0,0.0
Lactobacillus kullabergensis,4,2086999.0,0.0
Loigolactobacillus coryniformis,4,3013766.75,0.0
Companilactobacillus paralimentarius_A,4,3084842.75,0.0
Companilactobacillus farciminis,5,2494029.8,0.0
Lactobacillus amylolyticus,6,1601758.1666666667,0.0
Limosilactobacillus mucosae,14,2109179.6428571427,0.0
Pediococcus acidilactici,193,2001352.3626943005,0.09844559585492228
Lactobacillus apis,10,1740489.7,0.1
Lactobacillus gallinarum,5,2008170.2,0.2
Liquorilactobacillus nagelii,5,2478368.6,0.2
Lactobacillus gasseri,31,1892990.0322580645,0.22580645161290322
Companilactobacillus crustorum,3,2257228.3333333335,0.3333333333333333
Lactobacillus melliventris,9,1952822.6666666667,0.3333333333333333
Apilactobacillus kunkeei_D,5,1511195.0,0.4
Limosilactobacillus fermentum,49,2071551.6734693877,0.40816326530612246
Apilactobacillus kunkeei_C,2,1568469.0,0.5
Companilactobacillus zhachilii,2,2731529.0,0.5
Lactobacillus panisapium,4,2028077.25,0.5
Companilactobacillus nodensis,3,2681395.3333333335,0.6666666666666666
Apilactobacillus timberlakei,9,1568841.6666666667,0.6666666666666666
Apilactobacillus micheneri,20,1468370.7,0.7
Apilactobacillus kunkeei_A,13,1560597.2307692308,0.7692307692307693
Schleiferilactobacillus harbinensis,5,3293101.6,0.8
Lactobacillus helveticus,31,2022567.7419354839,0.8064516129032258
Lactobacillus mulieris,16,1657566.9375,0.875
Lactobacillus jensenii,19,1672575.6315789474,0.9473684210526315
Apilactobacillus sp003627035,1,1289211.0,1.0
Weissella kandleri,1,1334438.0,1.0
Apilactobacillus apinorum,1,1460240.0,1.0
Ligilactobacillus araffinosus,1,1475258.0,1.0
Lentilactobacillus sp013184075,1,1509660.0,1.0
Apilactobacillus kunkeei_E,1,1542588.0,1.0
Fructobacillus ficulneus,1,1552198.0,1.0
Weissella viridescens_A,1,1612814.0,1.0
Weissella sp011304355,1,1618880.0,1.0
Limosilactobacillus secaliphilus,1,1646143.0,1.0
Weissella diestrammenae,1,1659381.0,1.0
Oenococcus sicerae,1,1664394.0,1.0
Ligilactobacillus hayakitensis,1,1685542.0,1.0
Limosilactobacillus coleohominis,1,1725829.0,1.0
Lactobacillus hamsteri,1,1837804.0,1.0
Lactobacillus gigeriorum,1,1906034.0,1.0
Liquorilactobacillus cacaonum,1,1919106.0,1.0
Weissella_A fabalis,1,1962451.0,1.0
Levilactobacillus bambusae,1,1966274.0,1.0
Weissella cibaria_A,1,2010213.0,1.0
Oenococcus sp004010835,1,2030442.0,1.0
Lactobacillus equicursoris,1,2070239.0,1.0
Furfurilactobacillus siliginis,1,2070447.0,1.0
Lactobacillus kalixensis,1,2078190.0,1.0
Secundilactobacillus malefermentans,1,2087401.0,1.0
Lentilactobacillus curieae,1,2095860.0,1.0
Liquorilactobacillus oeni,1,2117633.0,1.0
Weissella oryzae,1,2129476.0,1.0
Levilactobacillus sp003946545,1,2185757.0,1.0
Lactobacillus kimbladii_A,1,2186983.0,1.0
Limosilactobacillus sp013487845,1,2187612.0,1.0
