genome_id,BioProject,assembly,assembly_level,assembly_type,biosample,date,genbank,genome_representation,genus,organism,refseq,refseq_category,refseq_genbank_identity,release_type,species,strain,submitter,tax_id
GCF_018551565.1,PRJNA689714,ASM1855156v1,Scaffold,na,SAMN17215148,2021-05-27,GCA_018551565.1,full,Lactiplantibacillus,Lactiplantibacillus argentoratensis (firmicutes),GCF_018551565.1,Representative Genome,yes,major,argentoratensis,LQC 2520,GREENBREAD Project,271881
GCF_003641165.1,PRJNA494615,ASM364116v1,Complete Genome,na,SAMN10174878,2018-10-15,GCA_003641165.1,full,Lactiplantibacillus,Lactiplantibacillus argentoratensis (firmicutes),GCF_003641165.1,,yes,major,argentoratensis,DSM 16365,Korea University,271881
GCF_020295655.1,PRJNA766719,ASM2029565v1,Contig,na,SAMN21874309,2021-10-05,GCA_020295655.1,full,Lactiplantibacillus,Lactiplantibacillus argentoratensis (firmicutes),GCF_020295655.1,,yes,major,argentoratensis,BSR19,Sichuan Agricultural University,271881
GCF_018552305.1,PRJNA689714,ASM1855230v1,Scaffold,na,SAMN17215147,2021-05-27,GCA_018552305.1,full,Lactiplantibacillus,Lactiplantibacillus argentoratensis (firmicutes),GCF_018552305.1,,yes,major,argentoratensis,LQC 2516,GREENBREAD Project,271881
GCF_018552295.1,PRJNA689714,ASM1855229v1,Scaffold,na,SAMN17215143,2021-05-27,GCA_018552295.1,full,Lactiplantibacillus,Lactiplantibacillus argentoratensis (firmicutes),GCF_018552295.1,,yes,major,argentoratensis,LQC 2320,GREENBREAD Project,271881
GCF_018551525.1,PRJNA689714,ASM1855152v1,Scaffold,na,SAMN17215144,2021-05-27,GCA_018551525.1,full,Lactiplantibacillus,Lactiplantibacillus argentoratensis (firmicutes),GCF_018551525.1,,yes,major,argentoratensis,LQC 2422,GREENBREAD Project,271881
GCF_018551595.1,PRJNA689714,ASM1855159v1,Scaffold,na,SAMN17215145,2021-05-27,GCA_018551595.1,full,Lactiplantibacillus,Lactiplantibacillus argentoratensis (firmicutes),GCF_018551595.1,,yes,major,argentoratensis,LQC 2441,GREENBREAD Project,271881
GCF_018552335.1,PRJNA689714,ASM1855233v1,Scaffold,na,SAMN17215146,2021-05-27,GCA_018552335.1,full,Lactiplantibacillus,Lactiplantibacillus argentoratensis (firmicutes),GCF_018552335.1,,yes,major,argentoratensis,LQC 2485,GREENBREAD Project,271881
GCF_018917085.1,PRJNA733006,ASM1891708v1,Contig,na,SAMN19374070,2021-06-16,GCA_018917085.1,full,Lactiplantibacillus,Lactiplantibacillus argentoratensis (firmicutes),GCF_018917085.1,,yes,major,argentoratensis,N104,The Institute of Microbiology of the Chinese Academy of Sciences,271881
GCF_017963485.1,PRJNA719350,ASM1796348v1,Contig,na,SAMN18603901,2021-04-14,GCA_017963485.1,full,Lactiplantibacillus,Lactiplantibacillus argentoratensis (firmicutes),GCF_017963485.1,,yes,major,argentoratensis,XSBN-2,Yunnan Minzu University,271881
GCF_020552455.1,PRJNA769251,ASM2055245v1,Contig,na,SAMN22106551,2021-10-25,GCA_020552455.1,full,Lactiplantibacillus,Lactiplantibacillus argentoratensis (firmicutes),GCF_020552455.1,,yes,major,argentoratensis,C7-83,Zhejiang Academy of Agricultural Sciences,271881
