genome_id,genome_id,source,organism,genus,species,strain,closest_placement_reference,contigs,gc_content,genome_len,bgcs_count,bgcs_on_contig_edge,protoclusters_count,cand_clusters_count
GCF_900240275.1,GCF_900240275.1,ncbi,,,,,,16,0.467654953599571,1678325,0.0,0.0,0.0,0.0
GCF_004359375.1,GCF_004359375.1,ncbi,,,,,,1,0.396867788892807,1616430,0.0,0.0,0.0,0.0
GCF_001436375.1,GCF_001436375.1,ncbi,,,,,,88,0.43940852546084935,3467402,1.0,0.0,1.0,1.0
GCF_000583695.1,GCF_000583695.1,ncbi,,,,,,94,0.43940726508709155,3449704,1.0,0.0,1.0,1.0
GCF_003946725.1,GCF_003946725.1,ncbi,,,,,,41,0.3995948617370126,2825702,2.0,1.0,2.0,2.0
GCF_006540265.1,GCF_006540265.1,ncbi,,,,,,32,0.43618896988656664,1547781,1.0,0.0,1.0,1.0
GCF_001936335.1,GCF_001936335.1,ncbi,,,,,,1,0.436536235555953,1610352,1.0,0.0,1.0,1.0
GCF_001436185.1,GCF_001436185.1,ncbi,,,,,,33,0.43607676196507444,1556969,1.0,0.0,1.0,1.0
GCF_001434555.1,GCF_001434555.1,ncbi,,,,,,21,0.43560106576019364,1548566,1.0,0.0,1.0,1.0
GCF_001281175.1,GCF_001281175.1,ncbi,,,,,,9,0.3379718402454391,1460240,1.0,0.0,1.0,1.0
GCF_003627035.1,GCF_003627035.1,ncbi,,,,,,1,0.3409759922929606,1289211,1.0,0.0,1.0,1.0
GCF_019575995.1,GCF_019575995.1,ncbi,,,,,,1,0.36557395332430737,1542216,1.0,0.0,1.0,1.0
GCF_001314945.1,GCF_001314945.1,ncbi,,,,,,1,0.3686496684467601,1614522,1.0,0.0,1.0,1.0
GCF_019576055.1,GCF_019576055.1,ncbi,,,,,,2,0.3698353652352578,1597354,0.0,0.0,0.0,0.0
GCF_019718775.1,GCF_019718775.1,ncbi,,,,,,15,0.3699402301832374,1634437,0.0,0.0,0.0,0.0
GCF_001308205.1,GCF_001308205.1,ncbi,,,,,,9,0.365786585695237,1406916,0.0,0.0,0.0,0.0
