File,#Seq,Total bp,Avg,N50,N75,N90,auN,Min,Max
GCF_900240275.1,16,1678325,104895.3,1623765,1623765,1623765,1571130.006,1133,1623765
GCF_004359375.1,1,1616430,1616430.0,1616430,1616430,1616430,1616430.000,1616430,1616430
GCF_001436375.1,88,3467402,39402.3,148390,59686,32716,162031.853,203,365928
GCF_000583695.1,94,3449704,36699.0,87613,39466,22117,93277.615,505,210006
GCF_003946725.1,41,2825702,68919.6,122398,81938,55589,162430.998,1011,323477
GCF_006540265.1,32,1547781,48368.2,108102,68061,41206,171854.737,660,380625
GCF_001936335.1,1,1610352,1610352.0,1610352,1610352,1610352,1610352.000,1610352,1610352
GCF_001436185.1,33,1556969,47180.9,279750,152786,41580,304257.165,206,564509
GCF_001434555.1,21,1548566,73741.2,352971,93566,51858,317971.510,570,564421
GCF_001281175.1,9,1460240,162248.9,817270,631915,631915,730885.817,857,817270
GCF_003627035.1,1,1289211,1289211.0,1289211,1289211,1289211,1289211.000,1289211,1289211
GCF_019575995.1,1,1542216,1542216.0,1542216,1542216,1542216,1542216.000,1542216,1542216
GCF_001314945.1,1,1614522,1614522.0,1614522,1614522,1614522,1614522.000,1614522,1614522
GCF_019576055.1,2,1597354,798677.0,1588921,1588921,1588921,1580577.042,8433,1588921
GCF_019718775.1,15,1634437,108962.5,1513848,1513848,1513848,1404747.542,201,1513848
GCF_001308205.1,9,1406916,156324.0,365555,179940,68580,304717.220,327,442335
GCF_001281285.1,8,1490020,186252.5,363045,272276,238494,339236.468,697,483425
GCF_001281205.1,7,1552941,221848.7,362906,340152,77291,340161.022,48117,486100
GCF_001421115.1,8,1525855,190731.9,317931,229785,176405,295006.410,7601,366741
GCF_001281225.1,24,1554001,64750.0,252768,125433,58446,239524.446,269,363520
GCF_006493615.1,28,1574441,56230.0,236678,105468,49212,197449.602,604,329759
GCF_014323645.1,28,1537461,54909.3,212504,63192,43488,172156.550,209,295206
GCF_000830375.1,21,1551609,73886.1,207955,102503,52085,218403.471,1128,358782
GCF_001421135.1,14,1567135,111938.2,198823,132108,58394,178428.522,5607,271997
GCF_009910775.1,42,1578470,37582.6,166292,48030,29812,140644.870,217,243654
GCF_001949975.2,26,1599909,61535.0,165447,100085,22607,156527.072,1322,245214
GCF_001308215.1,16,1576859,98553.7,144526,90115,49256,154543.281,329,251162
GCF_005930975.1,43,1542588,35874.1,135180,77107,51821,138161.493,206,238853
GCF_001308185.1,18,1478744,82152.4,117132,103204,49448,152088.812,376,254981
GCF_000741865.1,44,1581395,35940.8,96293,52228,34451,91392.925,365,156867
GCF_005930925.1,51,1490423,29224.0,79895,48059,33080,101276.467,205,216328
GCF_005930915.1,45,1484706,32993.5,78107,47135,32995,93360.348,205,216328
GCF_001308195.1,31,1560079,50325.1,76251,51866,33712,126565.486,705,326481
GCF_001281215.1,47,1569644,33396.7,68362,43107,21498,78814.497,233,184490
GCF_006493415.1,66,1575592,23872.6,63535,35184,16857,66035.539,604,143208
GCF_005930935.1,53,1499235,28287.5,55820,33103,21082,74796.126,205,181575
GCF_001281165.1,8,1608264,201033.0,1514950,1514950,1514950,1431272.473,1101,1514950
GCF_001281265.1,16,1515712,94732.0,250196,88944,56787,205219.305,423,359563
GCF_001433825.1,23,1513897,65821.6,234293,121373,51791,225087.074,213,357105
GCF_006493595.1,20,1479398,73969.9,264604,152489,77281,255146.479,604,363177
GCF_002993975.1,12,1462173,121847.8,395902,366857,220554,350927.559,686,413047
GCF_006493195.1,9,1469692,163299.1,368071,355882,222723,336565.227,891,423159
GCF_006493225.1,15,1438090,95872.7,368071,356258,220612,342605.106,615,423159
GCF_006493235.1,14,1472729,105194.9,368071,355882,222437,335784.525,617,423159
GCF_006493515.1,15,1438116,95874.4,368071,356116,220612,342565.997,617,423224
GCF_006493545.1,9,1469740,163304.4,368071,360715,220612,338267.941,600,423159
GCF_006493275.1,12,1436986,119748.8,368070,355882,222933,343434.036,603,423225
GCF_006493495.1,14,1437161,102654.4,368044,356256,220612,342810.869,612,423159
GCF_006493185.1,10,1469645,146964.5,368041,356085,220612,336025.704,600,423159
GCF_006493525.1,11,1396549,126959.0,366982,356131,220547,335907.833,604,395630
GCF_006493295.1,11,1441799,131072.6,356051,318694,236216,321355.225,631,417420
GCF_006493445.1,11,1435711,130519.2,355877,225355,168536,284765.891,613,368070
GCF_006493625.1,91,1630478,17917.3,248596,77399,32402,201766.484,601,340295
GCF_006493385.1,21,1475246,70249.8,202980,123593,44527,215217.423,604,364290
GCF_006493305.1,20,1449013,72450.6,193967,128671,49790,222860.886,604,367388
GCF_006493315.1,24,1450921,60455.0,193967,130049,49269,220565.376,601,364232
GCF_006493565.1,24,1460006,60833.6,193236,133102,49269,219506.536,604,364232
GCF_006493325.1,39,1525598,39117.9,130146,49328,33687,180624.447,628,359255
GCF_006493375.1,47,1528363,32518.4,128809,49331,19830,179480.105,604,359255
GCF_016861895.1,39,1538687,39453.5,75910,48055,33296,99138.284,560,203728
GCF_016861915.1,37,1504698,40667.5,92286,61625,33864,85536.652,465,139607
GCF_001435995.1,36,1479955,41109.9,123075,64353,38106,119552.971,223,248571
GCF_002994005.1,11,1575214,143201.3,353416,219270,112798,316714.036,679,427441
GCF_019656215.1,8,1445942,180742.8,268821,263159,225193,275739.285,1717,361210
GCF_019656255.1,34,1433555,42163.4,78141,52971,23993,89261.391,334,172137
GCF_019061205.1,38,1490797,39231.5,229491,85297,45719,163310.370,255,273391
GCF_006493105.1,17,1585604,93270.8,219133,207407,82219,269473.236,605,400793
GCF_002993965.1,17,1542971,90763.0,287985,228736,52785,278401.903,1256,382751
GCF_006493435.1,19,1497304,78805.5,329506,116283,49436,257411.219,633,348650
GCF_006493425.1,16,1513910,94619.4,301502,231206,93708,288507.419,603,379479
GCF_006493055.1,19,1549368,81545.7,289791,231628,51114,279316.866,602,381629
GCF_006493095.1,29,1807226,62318.1,228736,105645,49486,211035.972,602,366412
GCF_006493175.1,29,1508410,52014.1,203100,100534,49327,236815.140,603,395353
GCF_006493155.1,20,1504757,75237.9,203065,100505,49276,238105.415,616,396927
GCF_006493125.1,25,1610025,64401.0,133347,100532,49327,180511.709,667,329785
GCF_013385145.1,16,1712546,107034.1,281759,162718,53922,245104.863,1321,369913
GCF_003522965.1,1,1842084,1842084.0,1842084,1842084,1842084,1842084.000,1842084,1842084
GCF_003515805.1,9,1903140,211460.0,731490,731490,339628,643001.458,1015,755161
GCF_003515755.1,42,1934723,46064.8,125638,75993,46795,127839.455,1063,215362
GCF_000970795.1,11,1815047,165004.3,1298790,387941,387941,1019044.324,757,1298790
GCF_000967245.1,7,1810599,258657.0,793281,793281,793281,786345.601,1872,887147
GCF_013346925.1,17,1729063,101709.6,324817,268250,178089,323135.299,1183,454300
GCF_013345055.1,12,1683724,140310.3,315157,185735,113721,314102.198,1707,494139
GCF_013347085.1,16,1743889,108993.1,216156,184163,113744,293545.684,1180,508416
GCF_007991795.1,39,2327003,59666.7,115664,75063,36948,208662.532,549,533044
GCF_002849895.1,2,2401923,1200961.5,2333865,2333865,2333865,2269663.819,68058,2333865
GCF_001434745.1,46,2336325,50789.7,213737,91446,35504,242087.007,213,533142
GCF_001971585.1,2,2534178,1267089.0,2506167,2506167,2506167,2478775.227,28011,2506167
GCF_003946005.1,17,2520831,148284.2,314734,201186,96787,309774.011,1407,558692
GCF_003946605.1,17,2237367,131609.8,405241,238111,72020,428563.228,1939,768246
GCF_002179915.1,29,2885890,99513.4,319203,260027,163304,351040.776,268,626532
GCF_009764355.1,79,3699578,46830.1,277701,150521,54039,397478.657,1251,856267
GCF_009764365.1,48,3226122,67210.9,245841,194871,73009,236981.224,1058,390475
GCF_001434855.1,42,2882915,68640.8,424712,267541,163162,412422.578,202,626409
GCF_001951175.1,3,2316479,772159.7,2261471,2261471,2261471,2208743.429,8220,2261471
GCF_001438825.1,87,2235695,25697.6,53659,30649,13160,65109.428,212,140888
GCF_001434585.1,101,2219511,21975.4,50865,25235,12596,60739.865,207,139461
GCF_004354695.1,30,2527565,84252.2,175159,146363,73569,180202.622,212,274581
GCF_001485255.1,58,2364209,40762.2,70772,44070,27771,87336.309,961,196881
GCF_016586205.1,67,2411591,35993.9,65097,44704,19885,68935.392,164,179870
GCF_002706745.1,1,2551839,2551839.0,2551839,2551839,2551839,2551839.000,2551839,2551839
GCF_000184535.1,5,2498309,499661.8,701607,542389,542389,754327.098,5468,1023338
GCF_001434775.1,76,2480845,32642.7,112984,57885,32424,109185.758,212,244146
GCF_003573535.1,30,2469957,82331.9,266986,146696,98512,353834.983,202,694203
GCF_005405305.1,25,2470738,98829.5,247839,146930,96027,269744.953,208,481861
GCF_006007945.1,4,2648769,662192.2,2558218,2558218,2558218,2471828.414,25584,2558218
GCF_015654125.1,8,2726177,340772.1,2625189,2625189,2625189,2529498.477,2333,2625189
GCF_015566135.1,6,2654961,442493.5,2625188,2625188,2625188,2595849.021,2333,2625188
GCF_001050475.1,1,2590556,2590556.0,2590556,2590556,2590556,2590556.000,2590556,2590556
GCF_009600995.1,91,2534442,27851.0,52763,30738,16518,50832.837,1077,111877
GCF_000831645.3,1,2790548,2790548.0,2790548,2790548,2790548,2790548.000,2790548,2790548
GCF_005405325.1,26,2734063,105156.3,191601,136458,103088,193218.165,1230,282612
GCF_005404815.1,66,3023058,45803.9,123888,80521,26891,130612.788,214,267290
GCF_003946555.1,54,2632694,48753.6,90527,48865,32225,119050.452,1013,262665
GCF_003946015.1,73,2536116,34741.3,64521,32721,18473,69500.482,1035,159211
GCF_003946575.1,41,2707861,66045.4,110832,70969,37848,140044.452,1194,275849
GCF_003946625.1,37,2272157,61409.6,113031,75647,37534,140735.754,1270,349001
GCF_003946205.1,49,2301243,46964.1,101148,60530,30861,127940.535,1124,262009
GCF_001438805.1,71,2698724,38010.2,85023,40784,27969,105383.521,304,298405
GCF_002191155.1,37,2754256,74439.4,239261,154407,53050,215299.129,232,389867
GCF_001435445.1,28,2746576,98092.0,208708,154252,90460,225866.040,301,389712
GCF_001311095.1,30,2742293,91409.8,161786,104435,66239,189618.384,1057,331342
