patric_genome_id,bgcflow_genome_id,genome_name,organism_name,taxon_id,genome_status,strain,serovar,biovar,pathovar,mlst,other_typing,culture_collection,type_strain,completion_date,publication,bioproject_accession,biosample_accession,assembly_accession,genbank_accessions,refseq_accessions,sequencing_centers,sequencing_status,sequencing_platform,sequencing_depth,assembly_method,chromosomes,plasmids,contigs,sequences,genome_length,gc_content,patric_cds,brc1_cds,refseq_cds,isolation_site,isolation_source,isolation_comments,collection_date,isolation_country,geographic_location,latitude,longitude,altitude,depth,other_environmental,host_name,host_gender,host_age,host_health,body_sample_site,body_sample_subsite,other_clinical,antimicrobial_resistance,antimicrobial_resistance_evidence,gram_stain,cell_shape,motility,sporulation,temperature_range,optimal_temperature,salinity,oxygen_requirement,habitat,disease,comments,additional_metadata,contig_l50,contig_n50,trna,rrnacoarse_consistency,fine_consistency,checkm_completeness,checkm_contamination,genome_qualitydate_created,date_modified
1970790.3,GCF_900240275.1,Lactobacillus timonensis strain Marseille-P3825,,1970790,WGS,Marseille-P3825,,,,,,,,2017-12-05T00:00:00Z,,PRJEB20106,SAMEA104414376,GCA_900240275.1,OEPY01000000,,URMITE,,,,,,,16.0,,1678325.0,46.813305,1629.0,,,,stool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bacterial strain of Culturomics project of Marseille,,1.0,1623765.0,47.0,,98.0,100.0,0.0,,2018-05-28T12:08:45.112Z
1720083.4,GCF_004359375.1,Lactobacillus sp. HSLZ-75,,1720083,Complete,HSLZ-75,,,,,,,,2019-03-21T00:00:00Z,,PRJNA511912,SAMN10651137,GCA_004359375.1,CP034726,,"Jiangsu Hengshun Vinegar Industry Co.,Ltd.",,PacBio RS,100.0x,SOAPdenovo v. 5.0.1 OR February-2018,1.0,,1.0,,1616430.0,39.68678,1577.0,,1470.0,,Vinegar Pei,,Apr-2015,China,China:Jiangsu,,,,,,,,,,,,,,,,,,,,,,,,,A new species,sample_type:single cell,1.0,1616430.0,71.0,,96.3,,,,2019-07-19T11:04:26.581Z
1423734.3,GCF_001436375.1,Lactobacillus composti DSM 18527 = JCM 14202,,1423734,WGS,DSM 18527,,,,,,DSM:18527,,2015-11-06T00:00:00Z,26415554,PRJNA222257,SAMN02369442,GCF_001436375.1,AZGA01000000,,Shanghai Majorbio,,Illumina MiSeq; Illumina HiSeq,100x,SOAPdenovo v. 2,,,88.0,,3467402.0,43.94,3423.0,,3260.0,,composting material of distilled shochu residue,,2007,Japan,Japan,,,,,,,,,,,,,,,,,,,,,,,,,Genomic characterization of the genus Lactobacillus,,8.0,148390.0,55.0,,94.3,100.0,3.2,,2016-01-17T17:46:09.939Z
1236950.3,GCF_000583695.1,Lactobacillus composti JCM 14202,Lactobacillus composti JCM 14202,1423734,WGS,JCM 14202,,,,,, ,,2014-02-27T00:00:00Z,,PRJDB649,SAMD00003395,GCA_000583695.1,BAMK00000000,-,The University of Tokyo,WGS,Ion PGM,28.2x,Newbler v. 2.8,0.0,0.0,94.0,,3449704.0,43.9,4027.0,,3863.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""For the promotion of various studies, we perform genome sequencing of the important 300 microbial organisms to human and the environment.""",,13.0,87613.0,48.0,,88.9,100.0,14.3,,2015-03-16T03:17:09.594Z
2485997.3,GCF_003946725.1,Lactobacillus sp. 54-2,,2485997,WGS,54-2,,,,,,,,2018-12-14T00:00:00Z,,PRJNA503273,SAMN10357340,GCA_003946725.1,RHOY01000000,,Northeast Agricultural University,,Illumina HiSeq,522x,A5-MiSeq v. 20150522,,,41.0,,2825702.0,39.959488,2663.0,,,,pickle,isolated and identified,2015,China,China,,,,,,,,,,,,,,,,,,,,,,,,,"Chinese traditional fermented foods, such as pickle, sourdough and yogurt, are rich in lactic acid bacteria. In recent years, many novel lactic acid bacterial species have been isolated and identified. The goal of this bioproject is to sequence those new lactic acid bacterial species.",sample_type:cell culture,6.0,122398.0,47.0,,95.5,,,,2019-01-31T09:28:31.465Z
1603.4,GCF_006540265.1,Lactobacillus amylophilus strain NBRC 15881,,1603,WGS,NBRC 15881,,,,,,NBRC:15881,,2019-06-13T00:00:00Z,,PRJDB6015,SAMD00097597,GCA_006540265.1,BJOP01000000,,National Institute of Technology and Evaluation,,Illumina HiSeq 1000,158x,newbler v. 3.0,,,32.0,,1547781.0,43.618896,1627.0,,1565.0,,,,,,,,,,,,,,,,,,,,,Positive,Bacilli,No,,,,,Facultative,,,"The NBRC Whole Genome Shotgun Project aims to provide ""reference genomes"" of NBRC culture collection strains for identifying useful genes for taxonomic classification, risk/safety assessment, and industrial application, and for understanding the structure and evolution of microbial genomes. One of our goals is to sequence 2,000 representative strains in the NBRC culture collection. The sequence information will be released to the society through the NBRC web site (http://www.nite.go.jp/en/nbrc/genome/index.html) and DDBJ/EMBL/GenBank databases.",,4.0,108102.0,38.0,,97.3,,,,2019-09-30T13:15:34.795Z
1423721.7,GCF_001936335.1,Lactobacillus amylophilus DSM 20533 = JCM 1125,,1423721,Complete,DSM 20533,,,,,,DSM:20533,,2017-01-05T00:00:00Z,,PRJNA357931,SAMN06162176,GCF_001936335.1,CP018888,NZ_CP018888.1,Kyungpook National University,,PacBio,398.54,SMRT analysis 2.3 v. HGAP protocol 2,1.0,,1.0,,1610352.0,43.65,1684.0,,1607.0,,swine waste-corn fermentation,,1981,USA,United States,,,,,,,,,,,,,,,,,,,,,,,,,Whole Genome sequencing and assembly of Lactobacillus amylophilus DSM 20533T,sample_type:single cell,1.0,1610352.0,55.0,,96.0,99.9,6.2,,2017-01-24T00:54:21.383Z
1423721.4,GCF_001436185.1,Lactobacillus amylophilus DSM 20533 = JCM 1125,,1423721,WGS,DSM 20533,,,,,,DSM:20533,,2015-11-06T00:00:00Z,26415554,PRJNA222257,SAMN02369500,GCF_001436185.1,AYYS01000000,,Shanghai Majorbio,,Illumina MiSeq; Illumina HiSeq,100x,SOAPdenovo v. 2,,,33.0,,1556969.0,43.61,1633.0,,1532.0,,swine waste-corn fermentation,,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,Genomic characterization of the genus Lactobacillus,,2.0,279750.0,53.0,,96.9,99.9,3.2,,2016-01-17T17:46:07.050Z
1423722.3,GCF_001434555.1,Lactobacillus amylotrophicus DSM 20534,,1423722,WGS,DSM 20534,,,,,,DSM:20534,,2015-11-06T00:00:00Z,26415554,PRJNA222257,SAMN02369421,GCF_001434555.1,AZCV01000000,,Shanghai Majorbio,,Illumina MiSeq; Illumina HiSeq,100x,SOAPdenovo v. 2,,,21.0,,1548566.0,43.56,1622.0,,1529.0,,swine waste-corn fermentation,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,Genomic characterization of the genus Lactobacillus,,2.0,352971.0,47.0,,96.9,99.9,3.2,,2016-01-17T17:45:38.211Z
1218495.3,GCF_001281175.1,Lactobacillus apinorum strain Fhon13,,1218495,WGS,Fhon13,,,,,,,,2015-09-11T00:00:00Z,25953738,PRJNA270968,SAMN03275710,GCF_001281175.1,JXCT01000000,,Uppsala university,,Illumina MiSeq; 454,200.0x,Newbler v. 2.6,,,9.0,,1460240.0,33.8,1342.0,,1270.0,,,,2008,Sweden,Sweden: Jonstorp,,,,,,"Honey bee, Apis mellifera",,,,,,,,,Positive,,,,,,,,,,Comparative genome analysis of Lactobacillus kunkeei and Lactobacillus apinorum isolated from diverse species of honey bees,"sample_type:cell culture;collected_by:Alejandra Vasquez, Tobias Olofsson",1.0,817270.0,56.0,,97.9,100.0,0.0,,2016-01-17T17:06:07.959Z
